company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Zuora,USA,Foster City,Facebook Applications,Benchmark,USA,Menlo Park,09/05/2013 00:00,2013-09,2013,50000000,zuora,TRUE
Zuora,USA,Foster City,Facebook Applications,Benchmark,USA,Menlo Park,11/09/2010 00:00,2010-11,2010,20000000,zuora,TRUE
Glassdoor,USA,Sausalito,Career Management,Benchmark,USA,Menlo Park,12/05/2013 00:00,2013-12,2013,50000000,glassdoor,TRUE
Glassdoor,USA,Sausalito,Career Management,Benchmark,USA,Menlo Park,02/10/2011 00:00,2011-02,2011,12000000,glassdoor,TRUE
Good Technology,USA,Sunnyvale,Data Security,Benchmark,USA,Menlo Park,03/15/2005 00:00,2005-03,2005,95000000,goodtechnology,TRUE
Dropbox,USA,San Francisco,Storage,Benchmark,USA,Menlo Park,10/18/2011 00:00,2011-10,2011,250000000,dropbox,TRUE
Nextdoor,USA,San Francisco,Privacy,Benchmark,USA,Menlo Park,02/12/2013 00:00,2013-02,2013,21600000,nextdoor,TRUE
Snapchat,USA,Pacific Palisades,File Sharing,Benchmark,USA,Menlo Park,12/01/2012 00:00,2012-12,2012,12500000,snapchat,TRUE
Asana,USA,San Francisco,Collaboration,Benchmark,USA,Menlo Park,11/24/2009 00:00,2009-11,2009,9000000,asana,TRUE
Zuora,USA,Foster City,Facebook Applications,Benchmark,USA,Menlo Park,11/16/2011 00:00,2011-11,2011,36000000,zuora,TRUE
Nextdoor,USA,San Francisco,Privacy,Benchmark,USA,Menlo Park,10/29/2013 00:00,2013-10,2013,60000000,nextdoor,TRUE
Glassdoor,USA,Sausalito,Career Management,Benchmark,USA,Menlo Park,10/28/2008 00:00,2008-10,2008,6500000,glassdoor,TRUE
Zuora,USA,Foster City,Facebook Applications,Benchmark,USA,Menlo Park,10/28/2008 00:00,2008-10,2008,15000000,zuora,TRUE
Prosper,USA,San Francisco,Personal Finance,Benchmark,USA,Menlo Park,06/01/2007 00:00,2007-06,2007,20000000,prosper,TRUE
Prosper,USA,San Francisco,Personal Finance,Benchmark,USA,Menlo Park,02/01/2006 00:00,2006-02,2006,12500000,prosper,TRUE
Prosper,USA,San Francisco,Personal Finance,Benchmark,USA,Menlo Park,04/01/2005 00:00,2005-04,2005,7500000,prosper,TRUE
Domo,USA,American Fork,Web Development,Benchmark,USA,Menlo Park,07/13/2011 00:00,2011-07,2011,33000000,domo,TRUE
Nextdoor,USA,San Francisco,Privacy,Benchmark,USA,Menlo Park,07/24/2012 00:00,2012-07,2012,18600000,nextdoor,TRUE
Asana,USA,San Francisco,Collaboration,Benchmark,USA,Menlo Park,07/23/2012 00:00,2012-07,2012,28000000,asana,TRUE
Prosper,USA,San Francisco,Personal Finance,Benchmark,USA,Menlo Park,02/03/2010 00:00,2010-02,2010,2000000,prosper,TRUE
Glassdoor,USA,Sausalito,Career Management,Benchmark,USA,Menlo Park,10/31/2012 00:00,2012-10,2012,20000000,glassdoor,TRUE
Jasper,USA,Mountain View,Internet of Things,Benchmark,USA,Menlo Park,06/01/2005 00:00,2005-06,2005,7500000,jasper,TRUE
Twitter,USA,San Francisco,Software,Benchmark,USA,Menlo Park,09/25/2009 00:00,2009-09,2009,100000000,twitter,TRUE
Glassdoor,USA,Sausalito,Career Management,Benchmark,USA,Menlo Park,03/27/2008 00:00,2008-03,2008,3000000,glassdoor,TRUE
Zuora,USA,Foster City,Facebook Applications,Benchmark,USA,Menlo Park,03/13/2008 00:00,2008-03,2008,6500000,zuora,TRUE
Uber,USA,San Francisco,Transportation,Benchmark,USA,Menlo Park,12/07/2011 00:00,2011-12,2011,37000000,uber,TRUE
Uber,USA,San Francisco,Transportation,Benchmark,USA,Menlo Park,02/14/2011 00:00,2011-02,2011,11000000,uber,TRUE
Snapchat,USA,Pacific Palisades,File Sharing,Benchmark,USA,Menlo Park,06/22/2013 00:00,2013-06,2013,80000000,snapchat,TRUE
Mogujie,CHN,Hangzhou,Social Media,Bertelsmann Asia Investment Fund,CHN,Beijing,02/01/2011 00:00,2011-02,2011,1000000,mogujie,TRUE
Mogujie,CHN,Hangzhou,Social Media,Bertelsmann Asia Investment Fund,CHN,Beijing,01/01/2012 00:00,2012-01,2012,10000000,mogujie,TRUE
Mogujie,CHN,Hangzhou,Social Media,Bertelsmann Asia Investment Fund,CHN,Beijing,05/01/2011 00:00,2011-05,2011,1000000,mogujie,TRUE
Twilio,USA,San Francisco,Enterprise Software,Bessemer Venture Partners,USA,Menlo Park,06/07/2013 00:00,2013-06,2013,70000000,twilio,TRUE
Shopify,CAN,Ottawa,Online Shopping,Bessemer Venture Partners,USA,Menlo Park,12/11/2013 00:00,2013-12,2013,100000000,shopify,TRUE
Shopify,CAN,Ottawa,Online Shopping,Bessemer Venture Partners,USA,Menlo Park,12/13/2010 00:00,2010-12,2010,7000000,shopify,TRUE
Betterment,USA,New York,Finance,Bessemer Venture Partners,USA,Menlo Park,12/01/2010 00:00,2010-12,2010,3000000,betterment,TRUE
Pinterest,USA,San Francisco,Curated Web,Bessemer Venture Partners,USA,Menlo Park,10/07/2011 00:00,2011-10,2011,27000000,pinterest,TRUE
Snapdeal,IND,New Delhi,E-Commerce,Bessemer Venture Partners,USA,Menlo Park,09/01/2011 00:00,2011-09,2011,40000000,snapdeal,TRUE
Pinterest,USA,San Francisco,Curated Web,Bessemer Venture Partners,USA,Menlo Park,05/07/2011 00:00,2011-05,2011,10000000,pinterest,TRUE
Twilio,USA,San Francisco,Enterprise Software,Bessemer Venture Partners,USA,Menlo Park,11/09/2010 00:00,2010-11,2010,12000000,twilio,TRUE
Blue Apron,USA,New York,Hospitality,Bessemer Venture Partners,USA,Menlo Park,08/15/2013 00:00,2013-08,2013,5000000,blueapron,TRUE
Box,USA,Los Altos,File Sharing,Bessemer Venture Partners,USA,Menlo Park,10/28/2011 00:00,2011-10,2011,81000000,box,TRUE
Blue Apron,USA,New York,Hospitality,Bessemer Venture Partners,USA,Menlo Park,02/19/2013 00:00,2013-02,2013,3000000,blueapron,TRUE
Pinterest,USA,San Francisco,Curated Web,Bessemer Venture Partners,USA,Menlo Park,02/20/2013 00:00,2013-02,2013,200000000,pinterest,TRUE
LinkedIn,USA,Mountain View,Software,Bessemer Venture Partners,USA,Menlo Park,06/17/2008 00:00,2008-06,2008,53000000,linkedin,TRUE
Twilio,USA,San Francisco,Enterprise Software,Bessemer Venture Partners,USA,Menlo Park,12/07/2011 00:00,2011-12,2011,17000000,twilio,TRUE
Twilio,USA,San Francisco,Enterprise Software,Bessemer Venture Partners,USA,Menlo Park,01/01/2009 00:00,2009-01,2009,1000000,twilio,TRUE
LinkedIn,USA,Mountain View,Software,Bessemer Venture Partners,USA,Menlo Park,10/22/2008 00:00,2008-10,2008,22700000,linkedin,TRUE
LinkedIn,USA,Mountain View,Software,Bessemer Venture Partners,USA,Menlo Park,01/29/2007 00:00,2007-01,2007,12800000,linkedin,TRUE
Jasper,IND,New Delhi,E-Commerce,Bessemer Venture Partners,USA,Menlo Park,07/28/2011 00:00,2011-07,2011,40000000,jasper,TRUE
Box,USA,Los Altos,File Sharing,Bessemer Venture Partners,USA,Menlo Park,07/31/2012 00:00,2012-07,2012,125000000,box,TRUE
Shopify,CAN,Ottawa,Online Shopping,Bessemer Venture Partners,USA,Menlo Park,10/17/2011 00:00,2011-10,2011,15000000,shopify,TRUE
Pinterest,USA,San Francisco,Curated Web,Bessemer Venture Partners,USA,Menlo Park,05/17/2012 00:00,2012-05,2012,100000000,pinterest,TRUE
Betterment,USA,New York,Finance,Bessemer Venture Partners,USA,Menlo Park,10/03/2012 00:00,2012-10,2012,10000000,betterment,TRUE
Twilio,USA,San Francisco,Enterprise Software,Bessemer Venture Partners,USA,Menlo Park,12/30/2009 00:00,2009-12,2009,3700000,twilio,TRUE
Pinterest,USA,San Francisco,Curated Web,Bessemer Venture Partners,USA,Menlo Park,10/23/2013 00:00,2013-10,2013,225000000,pinterest,TRUE
Kabam,USA,San Francisco,Games,Betfair,GBR,London,10/01/2009 00:00,2009-10,2009,5500000,kabam,TRUE
Domo,USA,American Fork,Web Development,Bezos Expeditions,USA,Mercer Island,03/11/2013 00:00,2013-03,2013,60000000,domo,TRUE
Nextdoor,USA,San Francisco,Privacy,Bezos Expeditions,USA,Mercer Island,02/12/2013 00:00,2013-02,2013,21600000,nextdoor,TRUE
Twitter,USA,San Francisco,Software,Bezos Expeditions,USA,Mercer Island,05/01/2008 00:00,2008-05,2008,15000000,twitter,TRUE
Prosper,USA,San Francisco,Personal Finance,BlackRock,USA,New York,09/24/2013 00:00,2013-09,2013,25000000,prosper,TRUE
Automattic,USA,San Francisco,Web CMS,Blacksmith Capital,USA,Palo Alto,10/01/2005 00:00,2005-10,2005,1100000,automattic,TRUE
Good Technology,USA,Sunnyvale,Data Security,Blueprint Ventures,USA,San Francisco,12/20/2013 00:00,2013-12,2013,64997000,goodtechnology,TRUE
Kabbage,USA,Atlanta,Finance,BlueRun Ventures,USA,Menlo Park,09/17/2012 00:00,2012-09,2012,30000000,kabbage,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,BlueRun Ventures,USA,Menlo Park,09/01/2009 00:00,2009-09,2009,7500000,coupasoftware,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,BlueRun Ventures,USA,Menlo Park,02/15/2011 00:00,2011-02,2011,12000000,coupasoftware,TRUE
Kabbage,USA,Atlanta,Finance,BlueRun Ventures,USA,Menlo Park,08/17/2011 00:00,2011-08,2011,17000000,kabbage,TRUE
Coupa Software,USA,San Mateo,Enterprise Software,BlueRun Ventures,USA,Menlo Park,05/10/2012 00:00,2012-05,2012,22000000,coupasoftware,TRUE
