,funded_month,investor_state_code,Count
1749,2007-10,RI,1
1752,2007-10,TN,1
1760,2007-11,BRA,1
1762,2007-11,CHE,1
5562,2013-05,DE,1
1766,2007-11,CYM,1
5541,2013-04,TUR,1
2123,2008-05,RUS,1
1823,2007-12,GA,1
1826,2007-12,ID,1
1878,2008-01,GA,1
1880,2008-01,HKG,1
1883,2008-01,ID,1
1890,2008-01,KOR,1
1892,2008-01,LUX,1
1893,2008-01,LVA,1
5519,2013-04,ME,1
5525,2013-04,NE,1
1897,2008-01,MI,1
1901,2008-01,NC,1
1902,2008-01,NE,1
1903,2008-01,NGA,1
1904,2008-01,NJ,1
1907,2008-01,NV,1
5516,2013-04,LBN,1
5515,2013-04,KOR,1
1899,2008-01,MO,1
1875,2008-01,FIN,1
1874,2008-01,ESP,1
5528,2013-04,NOR,1
1833,2007-12,LKA,1
1834,2007-12,LUX,1
1837,2007-12,ME,1
1838,2007-12,MI,1
1839,2007-12,MUS,1
1840,2007-12,MYS,1
1841,2007-12,NC,1
1844,2007-12,NOR,1
1846,2007-12,NZL,1
1847,2007-12,OH,1
1848,2007-12,OK,1
1851,2007-12,QC,1
1852,2007-12,ROM,1
1855,2007-12,TN,1
1858,2007-12,UT,1
1863,2008-01,AZ,1
5529,2013-04,NV,1
1825,2007-12,HKG,1
1302,2007-02,AL,1
2903,2009-09,ID,1
2908,2009-09,JPN,1
4866,2012-07,ARG,1
4031,2011-05,MO,1
4033,2011-05,MYS,1
4039,2011-05,OK,1
4861,2012-06,UT,1
4044,2011-05,RI,1
4046,2011-05,SGP,1
4026,2011-05,LUX,1
4053,2011-06,AL,1
4853,2012-06,OR,1
4851,2012-06,OK,1
4064,2011-06,DC,1
4847,2012-06,NOR,1
4846,2012-06,NM,1
4072,2011-06,HKG,1
4073,2011-06,ID,1
4055,2011-06,AZ,1
4075,2011-06,IN,1
4025,2011-05,KOR,1
4868,2012-07,AZ,1
4886,2012-07,FL,1
3975,2011-04,NC,1
3976,2011-04,NH,1
3979,2011-04,NOR,1
3980,2011-04,NV,1
4884,2012-07,EST,1
3982,2011-04,NZL,1
4867,2012-07,AUS,1
3987,2011-04,RUS,1
4879,2012-07,CYM,1
3998,2011-05,AL,1
4000,2011-05,AUT,1
4002,2011-05,BEL,1
4872,2012-07,BRA,1
4010,2011-05,DE,1
4013,2011-05,ESP,1
3994,2011-04,VT,1
4079,2011-06,ITA,1
4082,2011-06,KY,1
4086,2011-06,ME,1
4162,2011-07,TWN,1
4167,2011-08,AB,1
4168,2011-08,AR,1
4169,2011-08,ARG,1
4173,2011-08,BRA,1
4799,2012-05,UT,1
4798,2012-05,UKR,1
4159,2011-07,SC,1
4796,2012-05,TWN,1
4188,2011-08,ID,1
4787,2012-05,OR,1
4190,2011-08,IN,1
4193,2011-08,ISL,1
4783,2012-05,NV,1
4198,2011-08,KS,1
4199,2011-08,KY,1
4790,2012-05,RI,1
4806,2012-06,BEL,1
4150,2011-07,NM,1
4146,2011-07,MO,1
4090,2011-06,NH,1
4093,2011-06,NOR,1
4834,2012-06,LBN,1
4097,2011-06,OR,1
4101,2011-06,RUS,1
4109,2011-06,VT,1
4113,2011-07,ARE,1
4822,2012-06,GA,1
4126,2011-07,DNK,1
4127,2011-07,ESP,1
4132,2011-07,HKG,1
4133,2011-07,IA,1
4136,2011-07,IRL,1
4138,2011-07,JOR,1
4141,2011-07,LA,1
4815,2012-06,DE,1
4813,2012-06,CYM,1
4890,2012-07,GRC,1
4200,2011-08,LA,1
3963,2011-04,GRC,1
3961,2011-04,GA,1
4956,2012-08,FL,1
4955,2012-08,EST,1
4953,2012-08,DNK,1
3816,2011-01,OR,1
3819,2011-01,ROM,1
4944,2012-08,BRA,1
4943,2012-08,BGR,1
3809,2011-01,NH,1
4941,2012-08,BC,1
3831,2011-02,BC,1
4939,2012-08,AUT,1
4938,2012-08,AUS,1
