index,company_name,company_market,company_country_code,raised_amount_usd
4212,Stem,Enterprise Software,USA,45000000.0
245,Anacor Pharmaceutical,Health Care,USA,45000000.0
3955,SigFig,Finance,USA,45000000.0
2344,Kumu Networks,Mobile,USA,45000000.0
665,Brighter.com,Curated Web,USA,45000000.0
2664,Medivo,Enterprise Software,USA,45000000.0
1578,FeedHenry,PaaS,USA,45000000.0
529,BioFire Diagnostics,Biotechnology,USA,45000000.0
91,AccessData,Enterprise Software,USA,45000000.0
4211,StellaService,E-Commerce,USA,45000000.0
4149,Spinal Modulation,Medical Devices,USA,45000000.0
3136,Outbox,Curated Web,USA,45000000.0
4876,Wanderful Media,Social Buying,USA,45000000.0
162,Aerpio Therapeutics,Biotechnology,USA,45000000.0
535,Biodesy,Biotechnology,USA,45000000.0
3066,OmniGuide,Clean Technology,USA,45000000.0
1593,FiftyThree,Software,USA,45000000.0
4984,World Business Lenders,Finance,USA,45000000.0
1338,DySISmedical,Health Care,GBR,45397772.0
4863,Vungle,Video,USA,45500000.0
4987,WorldStores,E-Commerce,GBR,45600000.0
2240,Kala Pharmaceuticals,Biotechnology,USA,46000000.0
2641,Maxwell Health,Employer Benefits Programs,USA,46000000.0
424,B2B-Center,None,RUS,46000000.0
16,2nd Watch,Corporate IT,USA,46000000.0
2208,Joyus,E-Commerce,USA,46000000.0
3455,Protagonist Therapeutics,Biotechnology,AUS,46000000.0
1306,DoubleDutch,Enterprise Application,USA,46000000.0
1872,Guardian Analytics,Security,USA,46000000.0
982,Coherus Biosciences,Biotechnology,USA,46271280.0
1158,Cyphort,Network Security,USA,46500000.0
1028,Conisus,Health Care,USA,46500000.0
2892,Narrative Science,Analytics,USA,46550000.0
4424,Tealium,Enterprise Software,USA,46800000.0
90,Access MediQuip,Health Care,USA,46900000.0
4804,VidSys,Software,USA,46950000.0
84,Acacia Pharma,Biotechnology,GBR,47000000.0
3826,Scodix,Hardware + Software,ISR,47000000.0
2206,Jounce Therapeutics,Biotechnology,USA,47000000.0
3303,"Piston Cloud Computing, Inc.",Software,USA,48000000.0
307,Apprenda,PaaS,USA,48000000.0
30,42Floors,Commercial Real Estate,USA,48000000.0
5357,theScore,Mobile,CAN,48000000.0
746,Canatu,Semiconductors,FIN,48000000.0
3398,PresenceLearning,Education,USA,48000000.0
4308,Swipely,Payments,USA,48000000.0
4884,WatchDox,Enterprise Software,USA,48000000.0
3520,Quantance,Mobile,USA,48000000.0
4316,Symbiotec Pharmalab,Biotechnology,IND,48000000.0
3183,Panaya,Software,USA,48000000.0
2859,MyWebGrocer,Advertising,USA,48000000.0
5034,YieldMo,Advertising,USA,48000000.0
5182,clypd,Advertising,USA,48000000.0
5047,Yottaa,Consulting,USA,48000000.0
5025,Yebhi,Shoes,IND,48000000.0
4322,SynapDx,Health Care,USA,48200000.0
866,Chronos Therapeutics,Biotechnology,GBR,48488044.0
31,4INFO,Advertising,USA,48576000.0
5282,immatics biotechnologies,Biotechnology,DEU,48765729.0
4274,SuppreMol,Biotechnology,DEU,48890800.0
4234,StrikeAd,Advertising Networks,USA,49000000.0
46,8Trip,Travel,CHN,49200000.0
2753,MobiTV,Games,USA,49497000.0
2212,Julep,Beauty,USA,49921964.0
1860,Gridco,Clean Technology,USA,49999960.0
2466,Lithium Technologies,Software,USA,50000000.0
3972,Silverpop,Lead Management,USA,50000000.0
2070,India Property Online,E-Commerce,IND,50000000.0
1273,Digital Signal,Enterprise Software,USA,50000000.0
