company_market,funded_quarter,funding,startup
Semiconductors,2011-Q4,12331613.5,28
Semiconductors,2012-Q1,11500000.0,27
Semiconductors,2012-Q2,10000000.0,42
Semiconductors,2012-Q3,11811000.0,50
Semiconductors,2012-Q4,28000000.0,27
Semiconductors,2013-Q1,12000000.0,17
Semiconductors,2013-Q2,19000000.0,30
Semiconductors,2013-Q3,16000000.0,30
Semiconductors,2013-Q4,11000000.0,28
Software,2004-Q1,10000000.0,15
Software,2004-Q2,7000000.0,17
Software,2004-Q3,20000000.0,18
Software,2004-Q4,5000000.0,16
Software,2005-Q1,7000000.0,233
Software,2005-Q2,7000000.0,270
Software,2005-Q3,6000000.0,206
Software,2005-Q4,8000000.0,190
Software,2006-Q1,6450000.0,258
Software,2006-Q2,6500000.0,227
Software,2006-Q3,6000000.0,227
Software,2006-Q4,7000000.0,213
Software,2007-Q1,5000000.0,219
Software,2007-Q2,7380000.0,240
Software,2007-Q3,11600000.0,307
Software,2007-Q4,8000000.0,154
Software,2008-Q1,5250000.0,160
Software,2008-Q2,6964343.0,185
Software,2008-Q3,7000000.0,168
Software,2008-Q4,6000000.0,123
Software,2009-Q1,6000000.0,175
Software,2009-Q2,6000000.0,111
Software,2009-Q3,5290000.0,90
Software,2009-Q4,3600000.0,141
Software,2010-Q1,4000000.0,126
Software,2010-Q2,6000000.0,176
Software,2010-Q3,3750000.0,152
Software,2010-Q4,4225000.0,122
Software,2011-Q1,3800000.0,137
Software,2011-Q2,6250000.0,160
Software,2011-Q3,8270000.0,135
Software,2011-Q4,5330000.0,154
Software,2012-Q1,3000000.0,176
Software,2012-Q2,4000000.0,183
Software,2012-Q3,4500000.0,178
Software,2012-Q4,4000000.0,229
Software,2013-Q1,1878026.0,226
Software,2013-Q2,2000000.0,164
Software,2013-Q3,2500000.0,276
Software,2013-Q4,3000000.0,292
Web Hosting,2004-Q2,2000000.0,1
Web Hosting,2005-Q1,15000000.0,81
Web Hosting,2005-Q2,15000000.0,77
Web Hosting,2005-Q3,13420000.0,71
Web Hosting,2005-Q4,12000000.0,56
Web Hosting,2006-Q1,12500000.0,60
Web Hosting,2006-Q2,20000000.0,49
