,funded_month,investor_state_code,Count,latitude,longitude
3204,2008-04,NC,6,35.6411,-79.8431
3205,2013-12,NC,6,35.6411,-79.8431
3206,2012-08,NC,6,35.6411,-79.8431
3207,2012-06,NC,6,35.6411,-79.8431
3208,2013-03,NC,7,35.6411,-79.8431
3209,2013-08,NC,7,35.6411,-79.8431
3210,2007-06,NC,7,35.6411,-79.8431
3211,2010-08,NC,7,35.6411,-79.8431
3212,2005-11,NC,7,35.6411,-79.8431
3213,2013-10,NC,8,35.6411,-79.8431
3214,2007-01,NC,8,35.6411,-79.8431
3215,2012-07,NC,8,35.6411,-79.8431
3216,2011-09,NC,8,35.6411,-79.8431
3217,2013-09,NC,9,35.6411,-79.8431
3218,2008-06,NC,9,35.6411,-79.8431
3219,2011-06,NC,10,35.6411,-79.8431
3220,2013-11,NC,10,35.6411,-79.8431
3221,2010-01,NC,10,35.6411,-79.8431
3222,2008-09,LBN,1,33.8333,35.8333
3223,2012-12,LBN,1,33.8333,35.8333
3224,2013-01,LBN,1,33.8333,35.8333
3225,2013-03,LBN,1,33.8333,35.8333
3226,2013-04,LBN,1,33.8333,35.8333
3227,2012-06,LBN,1,33.8333,35.8333
3228,2012-02,LBN,1,33.8333,35.8333
3229,2010-09,LBN,1,33.8333,35.8333
3230,2013-12,LBN,1,33.8333,35.8333
3231,2013-11,LBN,1,33.8333,35.8333
3232,2012-09,LBN,2,33.8333,35.8333
3233,2012-08,LBN,4,33.8333,35.8333
3234,2008-08,BRA,1,-10.0,-55.0
3235,2009-06,BRA,1,-10.0,-55.0
3236,2009-09,BRA,1,-10.0,-55.0
3237,2008-02,BRA,1,-10.0,-55.0
3238,2007-11,BRA,1,-10.0,-55.0
3239,2012-07,BRA,1,-10.0,-55.0
3240,2011-08,BRA,1,-10.0,-55.0
3241,2012-08,BRA,1,-10.0,-55.0
3242,2012-03,BRA,1,-10.0,-55.0
3243,2011-10,BRA,1,-10.0,-55.0
3244,2010-04,BRA,1,-10.0,-55.0
3245,2012-12,BRA,1,-10.0,-55.0
3246,2013-08,BRA,1,-10.0,-55.0
3247,2006-01,BRA,1,-10.0,-55.0
3248,2009-12,BRA,2,-10.0,-55.0
3249,2013-10,BRA,2,-10.0,-55.0
3250,2013-01,BRA,2,-10.0,-55.0
3251,2013-07,BRA,2,-10.0,-55.0
3252,2013-12,BRA,2,-10.0,-55.0
3253,2012-02,BRA,2,-10.0,-55.0
3254,2011-07,BRA,2,-10.0,-55.0
3255,2008-06,BRA,2,-10.0,-55.0
3256,2013-04,BRA,2,-10.0,-55.0
3257,2012-10,BRA,3,-10.0,-55.0
3258,2011-01,BRA,3,-10.0,-55.0
3259,2010-01,BRA,3,-10.0,-55.0
3260,2012-01,BRA,3,-10.0,-55.0
3261,2013-09,BRA,3,-10.0,-55.0
3262,2013-02,BRA,4,-10.0,-55.0
3263,2013-03,BRA,4,-10.0,-55.0
3264,2008-08,FRA,1,46.0,2.0
3265,2006-11,FRA,2,46.0,2.0
3266,2004-03,FRA,2,46.0,2.0
3267,2012-08,FRA,3,46.0,2.0
3268,2005-10,FRA,3,46.0,2.0
3269,2007-08,FRA,3,46.0,2.0
3270,2010-10,FRA,4,46.0,2.0
3271,2009-02,FRA,5,46.0,2.0
3272,2009-04,FRA,5,46.0,2.0
3273,2007-04,FRA,6,46.0,2.0
3274,2008-07,FRA,6,46.0,2.0
3275,2012-02,FRA,6,46.0,2.0
3276,2012-06,FRA,6,46.0,2.0
3277,2005-06,FRA,6,46.0,2.0
3278,2009-07,FRA,6,46.0,2.0
3279,2006-03,FRA,6,46.0,2.0
3280,2012-04,FRA,7,46.0,2.0
3281,2008-02,FRA,7,46.0,2.0
3282,2007-06,FRA,7,46.0,2.0
3283,2007-10,FRA,7,46.0,2.0
3284,2010-12,FRA,7,46.0,2.0
3285,2009-11,FRA,7,46.0,2.0
3286,2006-08,FRA,7,46.0,2.0
3287,2005-03,FRA,7,46.0,2.0
3288,2005-05,FRA,7,46.0,2.0
3289,2006-05,FRA,7,46.0,2.0
3290,2005-12,FRA,7,46.0,2.0
3291,2005-02,FRA,7,46.0,2.0
3292,2005-01,FRA,8,46.0,2.0
3293,2005-11,FRA,8,46.0,2.0
3294,2005-08,FRA,8,46.0,2.0
3295,2013-08,FRA,8,46.0,2.0
3296,2008-01,FRA,8,46.0,2.0
3297,2009-05,FRA,8,46.0,2.0
3298,2011-12,FRA,8,46.0,2.0
3299,2012-05,FRA,8,46.0,2.0
3300,2012-07,FRA,8,46.0,2.0
3301,2006-02,FRA,9,46.0,2.0
3302,2007-03,FRA,9,46.0,2.0
3303,2010-03,FRA,9,46.0,2.0
3304,2012-12,FRA,9,46.0,2.0
3305,2009-09,FRA,9,46.0,2.0
3306,2008-12,FRA,9,46.0,2.0
3307,2008-03,FRA,10,46.0,2.0
3308,2010-08,FRA,10,46.0,2.0
3309,2011-08,FRA,10,46.0,2.0
3310,2010-11,FRA,10,46.0,2.0
3311,2008-04,FRA,10,46.0,2.0
3312,2005-07,FRA,10,46.0,2.0
3313,2007-05,FRA,10,46.0,2.0
3314,2005-09,FRA,10,46.0,2.0
3315,2009-06,FRA,10,46.0,2.0
3316,2012-09,FRA,11,46.0,2.0
3317,2008-10,FRA,11,46.0,2.0
3318,2007-11,FRA,11,46.0,2.0
3319,2006-07,FRA,11,46.0,2.0
3320,2013-03,FRA,11,46.0,2.0
3321,2006-12,FRA,11,46.0,2.0
3322,2006-10,FRA,11,46.0,2.0
3323,2010-02,FRA,11,46.0,2.0
3324,2005-04,FRA,11,46.0,2.0
3325,2011-03,FRA,12,46.0,2.0
3326,2008-09,FRA,12,46.0,2.0
3327,2009-12,FRA,12,46.0,2.0
3328,2006-09,FRA,12,46.0,2.0
3329,2007-02,FRA,12,46.0,2.0
3330,2011-02,FRA,12,46.0,2.0
3331,2011-10,FRA,12,46.0,2.0
3332,2011-11,FRA,12,46.0,2.0
3333,2008-05,FRA,13,46.0,2.0
3334,2011-09,FRA,13,46.0,2.0
3335,2007-07,FRA,13,46.0,2.0
3336,2009-10,FRA,13,46.0,2.0
3337,2011-07,FRA,13,46.0,2.0
3338,2006-04,FRA,13,46.0,2.0
3339,2008-06,FRA,13,46.0,2.0
3340,2013-01,FRA,14,46.0,2.0
3341,2009-03,FRA,14,46.0,2.0
3342,2009-01,FRA,14,46.0,2.0
3343,2013-10,FRA,15,46.0,2.0
3344,2011-05,FRA,15,46.0,2.0
3345,2012-10,FRA,15,46.0,2.0
3346,2007-09,FRA,16,46.0,2.0
3347,2012-11,FRA,16,46.0,2.0
3348,2012-01,FRA,16,46.0,2.0
3349,2010-05,FRA,16,46.0,2.0
3350,2011-06,FRA,16,46.0,2.0
3351,2013-02,FRA,16,46.0,2.0
3352,2011-01,FRA,16,46.0,2.0
3353,2007-01,FRA,16,46.0,2.0
3354,2011-04,FRA,17,46.0,2.0
3355,2008-11,FRA,17,46.0,2.0
3356,2006-01,FRA,18,46.0,2.0
3357,2006-06,FRA,18,46.0,2.0
3358,2007-12,FRA,18,46.0,2.0
3359,2013-06,FRA,19,46.0,2.0
3360,2012-03,FRA,20,46.0,2.0
3361,2010-01,FRA,20,46.0,2.0
3362,2010-09,FRA,22,46.0,2.0
3363,2013-04,FRA,22,46.0,2.0
3364,2010-04,FRA,25,46.0,2.0
3365,2013-09,FRA,25,46.0,2.0
3366,2013-12,FRA,27,46.0,2.0
3367,2010-07,FRA,28,46.0,2.0
3368,2013-05,FRA,28,46.0,2.0
3369,2013-11,FRA,29,46.0,2.0
3370,2013-07,FRA,31,46.0,2.0
3371,2010-06,FRA,37,46.0,2.0
3372,2013-02,NV,1,38.4199,-117.1219
3373,2012-12,NV,1,38.4199,-117.1219
3374,2008-02,NV,1,38.4199,-117.1219
3375,2013-03,NV,1,38.4199,-117.1219
3376,2008-01,NV,1,38.4199,-117.1219
3377,2013-04,NV,1,38.4199,-117.1219
3378,2011-04,NV,1,38.4199,-117.1219
3379,2012-05,NV,1,38.4199,-117.1219
3380,2011-03,NV,1,38.4199,-117.1219
3381,2012-07,NV,1,38.4199,-117.1219
3382,2011-08,NV,1,38.4199,-117.1219
3383,2012-04,NV,1,38.4199,-117.1219
3384,2011-10,NV,1,38.4199,-117.1219
3385,2010-01,NV,1,38.4199,-117.1219
3386,2009-10,NV,1,38.4199,-117.1219
3387,2009-12,NV,1,38.4199,-117.1219
3388,2013-07,NV,1,38.4199,-117.1219
3389,2005-11,NV,1,38.4199,-117.1219
3390,2005-04,NV,1,38.4199,-117.1219
3391,2006-01,NV,1,38.4199,-117.1219
3392,2006-05,NV,1,38.4199,-117.1219
3393,2005-08,NV,2,38.4199,-117.1219
3394,2013-09,NV,2,38.4199,-117.1219
3395,2013-12,NV,2,38.4199,-117.1219
3396,2012-10,NV,2,38.4199,-117.1219
3397,2012-06,NV,2,38.4199,-117.1219
3398,2007-01,NV,2,38.4199,-117.1219
3399,2013-06,NV,2,38.4199,-117.1219
3400,2011-12,NV,2,38.4199,-117.1219
3401,2012-11,NV,3,38.4199,-117.1219
3402,2012-08,NV,3,38.4199,-117.1219
3403,2013-05,NV,3,38.4199,-117.1219
3404,2013-01,NV,4,38.4199,-117.1219
3405,2013-11,NV,5,38.4199,-117.1219
3406,2013-10,NV,6,38.4199,-117.1219
3407,2008-08,JPN,1,36.0,138.0
3408,2009-03,JPN,1,36.0,138.0
3409,2007-03,JPN,1,36.0,138.0
3410,2009-09,JPN,1,36.0,138.0
3411,2010-05,JPN,1,36.0,138.0
3412,2010-06,JPN,1,36.0,138.0
3413,2004-10,JPN,1,36.0,138.0
3414,2005-07,JPN,1,36.0,138.0
3415,2004-12,JPN,1,36.0,138.0
3416,2004-11,JPN,1,36.0,138.0
3417,2005-11,JPN,1,36.0,138.0
3418,2005-08,JPN,1,36.0,138.0
3419,2006-12,JPN,1,36.0,138.0
3420,2006-05,JPN,2,36.0,138.0
3421,2008-11,JPN,2,36.0,138.0
3422,2009-07,JPN,2,36.0,138.0
3423,2005-12,JPN,2,36.0,138.0
3424,2009-02,JPN,2,36.0,138.0
3425,2006-03,JPN,2,36.0,138.0
3426,2005-06,JPN,2,36.0,138.0
3427,2010-10,JPN,3,36.0,138.0
3428,2010-07,JPN,3,36.0,138.0
3429,2005-02,JPN,3,36.0,138.0
3430,2010-12,JPN,3,36.0,138.0
3431,2011-06,JPN,3,36.0,138.0
3432,2011-08,JPN,3,36.0,138.0
3433,2007-07,JPN,3,36.0,138.0
3434,2006-10,JPN,3,36.0,138.0
3435,2007-11,JPN,3,36.0,138.0
3436,2009-06,JPN,3,36.0,138.0
3437,2009-05,JPN,3,36.0,138.0
3438,2009-08,JPN,3,36.0,138.0
3439,2005-03,JPN,4,36.0,138.0
3440,2007-01,JPN,4,36.0,138.0
3441,2011-04,JPN,4,36.0,138.0
3442,2007-12,JPN,4,36.0,138.0
3443,2012-08,JPN,4,36.0,138.0
3444,2011-05,JPN,4,36.0,138.0
3445,2005-04,JPN,4,36.0,138.0
3446,2007-04,JPN,4,36.0,138.0
3447,2012-03,JPN,4,36.0,138.0
3448,2009-04,JPN,4,36.0,138.0
3449,2005-10,JPN,4,36.0,138.0
3450,2010-02,JPN,4,36.0,138.0
3451,2012-11,JPN,4,36.0,138.0
3452,2010-08,JPN,4,36.0,138.0
3453,2008-03,JPN,4,36.0,138.0
3454,2008-09,JPN,4,36.0,138.0
3455,2013-02,JPN,4,36.0,138.0
3456,2011-07,JPN,5,36.0,138.0
3457,2012-06,JPN,5,36.0,138.0
3458,2012-02,JPN,5,36.0,138.0
3459,2012-04,JPN,5,36.0,138.0
3460,2009-10,JPN,5,36.0,138.0
3461,2006-08,JPN,5,36.0,138.0
3462,2010-01,JPN,5,36.0,138.0
3463,2010-04,JPN,5,36.0,138.0
3464,2010-03,JPN,5,36.0,138.0
3465,2013-09,JPN,5,36.0,138.0
3466,2006-07,JPN,5,36.0,138.0
3467,2005-05,JPN,5,36.0,138.0
3468,2012-07,JPN,5,36.0,138.0
3469,2007-08,JPN,5,36.0,138.0
3470,2006-09,JPN,6,36.0,138.0
3471,2007-06,JPN,6,36.0,138.0
3472,2011-03,JPN,6,36.0,138.0
3473,2010-11,JPN,6,36.0,138.0
3474,2009-12,JPN,6,36.0,138.0
