,Investor,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYM,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIB,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MAF,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TUR,TWN,UKR,USA
31,HUN,0,0,0,0,2622377,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,43615600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57417450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93350000,0,0,0,0,0,0,0,2940000,0,0,0,0,0,0,0,0,0,4018200,0,0,197500000.0
32,IND,0,0,0,442622,0,0,78478890,0,0,0,0,9200000,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5655392365,2084200,0,452533231,0,0,18300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7459800,0,0,0,0,0,0,0,0,0,4400004949.0
33,IRL,0,0,0,0,0,0,31475320,0,0,0,0,64000000,0,0,0,0,0,0,0,0,0,0,0,0,13820000,0,0,127154500,1276062260,0,0,0,0,0,0,0,0,200000000,2719383376,0,0,0,0,0,0,0,0,0,2442600,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712258650.0
34,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10280819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28499283,0,0,0,0,9200000.0
35,ISR,0,0,0,2300000,0,0,0,0,0,0,0,278200000,49200000,0,404600000,0,0,0,70400000,0,29634000,0,0,0,0,0,0,128496100,1720398000,0,0,0,0,0,0,0,0,0,0,0,21875244643,0,0,25200000,0,0,0,0,0,0,0,0,0,0,0,0,19000000,0,0,0,0,0,1000000,0,0,5000000,0,7200000,0,0,0,0,0,0,0,0,0,28305784936.0
36,ITA,0,0,0,0,3593665,0,28138800,0,0,0,225152896,0,3700000,0,5000000,0,0,0,0,0,119418260,0,0,0,22130274,0,0,1051149900,459143806,0,0,0,0,0,0,0,0,0,12386190,0,46900000,648385219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52849000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152922679.0
37,JOR,415000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9283219.0
38,JPN,0,0,0,0,0,0,4700000,0,0,0,0,18829440,31000000,0,655520000,0,0,0,0,0,93831250,0,0,0,3000000,0,8200000,169470000,469238187,0,0,0,0,0,0,0,9000000,75000000,212660000,0,123000000,0,0,1117875324,0,43484327,0,28100000,0,0,0,0,0,0,0,0,1771320,105790000,0,0,0,0,0,0,0,180000000,0,369675000,0,0,0,0,0,6200000,1801240,26300000,0,32128069605.0
39,KEN,0,0,0,10330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56805000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.0
40,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369900.0
